#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Mon Oct 30 23:16:25 EDT 2017,9,9,Assignment4Suite,ContainsTest2+ EmptyTest2+ SizeTest0+ , ,ContainsTest0- ContainsTest1- EmptyTest0- EmptyTest1- FindMinMaxTest0- FindMinMaxTest1- FindMinMaxTest2- HeightTest- InsertAfterRemoveTest0- InsertAfterRemoveTest1- InsertAfterRemoveTest2- InsertTest0- InsertTest1- InsertTest2- InsertTest3- InsertTest4- InsertTest5- RemoveTest0- RemoveTest1- RemoveTest2- RemoveTest3- RemoveTest4- RemoveTest5- RemoveTest6- RemoveTest7- SizeTest1- SizeTest2- SizeTest3- , ,
44,Wed Nov 01 12:16:51 EDT 2017,83,16,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest2+ InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest1+ RemoveTest2+ RemoveTest3+ RemoveTest4+ RemoveTest6 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,EmptyTest1 InsertAfterRemoveTest1 RemoveTest0 RemoveTest5 RemoveTest7 , ,
45,Wed Nov 01 12:19:52 EDT 2017,80,-3,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,EmptyTest1 InsertAfterRemoveTest1 RemoveTest0 RemoveTest5 RemoveTest6- RemoveTest7 , ,
46,Wed Nov 01 12:23:43 EDT 2017,80,0,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,EmptyTest1 InsertAfterRemoveTest1 RemoveTest0 RemoveTest5 RemoveTest6 RemoveTest7 , ,
47,Wed Nov 01 12:24:07 EDT 2017,83,3,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest6+ SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,EmptyTest1 InsertAfterRemoveTest1 RemoveTest0 RemoveTest5 RemoveTest7 , ,
48,Wed Nov 01 12:24:25 EDT 2017,83,0,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest6 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,EmptyTest1 InsertAfterRemoveTest1 RemoveTest0 RemoveTest5 RemoveTest7 , ,
49,Wed Nov 01 12:27:06 EDT 2017,83,0,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest6 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,EmptyTest1 InsertAfterRemoveTest1 RemoveTest0 RemoveTest5 RemoveTest7 , ,
50,Wed Nov 01 12:38:01 EDT 2017,67,-16,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest6 SizeTest0 SizeTest1 SizeTest3 , ,EmptyTest1 EmptyTest2- InsertAfterRemoveTest0- InsertAfterRemoveTest1 InsertAfterRemoveTest2- RemoveTest0 RemoveTest1- RemoveTest5 RemoveTest7 SizeTest2- , ,
51,Wed Nov 01 12:38:30 EDT 2017,67,0,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest6 SizeTest0 SizeTest1 SizeTest3 , ,EmptyTest1 EmptyTest2 InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 RemoveTest0 RemoveTest1 RemoveTest5 RemoveTest7 SizeTest2 , ,
52,Wed Nov 01 12:39:05 EDT 2017,83,16,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest2+ FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0+ InsertAfterRemoveTest2+ InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest1+ RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest6 SizeTest0 SizeTest1 SizeTest2+ SizeTest3 , ,EmptyTest1 InsertAfterRemoveTest1 RemoveTest0 RemoveTest5 RemoveTest7 , ,
53,Wed Nov 01 12:43:47 EDT 2017,87,4,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1+ InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest6 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,EmptyTest1 RemoveTest0 RemoveTest5 RemoveTest7 , ,
54,Wed Nov 01 12:49:40 EDT 2017,67,-20,Assignment4Suite,ContainsTest0 ContainsTest2 EmptyTest0 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest0+ RemoveTest1 SizeTest0 SizeTest1 SizeTest3 , ,ContainsTest1- EmptyTest1 InsertAfterRemoveTest0- RemoveTest2- RemoveTest3- RemoveTest4- RemoveTest5 RemoveTest6- RemoveTest7 SizeTest2- , ,
55,Wed Nov 01 12:50:08 EDT 2017,87,20,Assignment4Suite,ContainsTest0 ContainsTest1+ ContainsTest2 EmptyTest0 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0+ InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest1 RemoveTest2+ RemoveTest3+ RemoveTest4+ RemoveTest6+ SizeTest0 SizeTest1 SizeTest2+ SizeTest3 , ,EmptyTest1 RemoveTest0- RemoveTest5 RemoveTest7 , ,
56,Wed Nov 01 13:40:50 EDT 2017,87,0,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest6 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,EmptyTest1 RemoveTest0 RemoveTest5 RemoveTest7 , ,
57,Wed Nov 01 13:45:13 EDT 2017,51,-36,Assignment4Suite,ContainsTest0 ContainsTest2 EmptyTest0 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 SizeTest0 SizeTest1 SizeTest3 , ,ContainsTest1- EmptyTest1 EmptyTest2- InsertAfterRemoveTest0- InsertAfterRemoveTest1- InsertAfterRemoveTest2- RemoveTest0 RemoveTest1- RemoveTest2- RemoveTest3- RemoveTest4- RemoveTest5 RemoveTest6- RemoveTest7 SizeTest2- , ,
58,Wed Nov 01 13:47:50 EDT 2017,87,36,Assignment4Suite,ContainsTest0 ContainsTest1+ ContainsTest2 EmptyTest0 EmptyTest2+ FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0+ InsertAfterRemoveTest1+ InsertAfterRemoveTest2+ InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest1+ RemoveTest2+ RemoveTest3+ RemoveTest4+ RemoveTest6+ SizeTest0 SizeTest1 SizeTest2+ SizeTest3 , ,EmptyTest1 RemoveTest0 RemoveTest5 RemoveTest7 , ,
59,Wed Nov 01 13:51:41 EDT 2017,87,0,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest6 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,EmptyTest1 RemoveTest0 RemoveTest5 RemoveTest7 , ,
60,Wed Nov 01 13:57:22 EDT 2017,87,0,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest6 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,EmptyTest1 RemoveTest0 RemoveTest5 RemoveTest7 , ,
61,Wed Nov 01 19:42:58 EDT 2017,87,0,Assignment4Suite,ContainsTest0 ContainsTest1 ContainsTest2 EmptyTest0 EmptyTest2 FindMinMaxTest0 FindMinMaxTest1 FindMinMaxTest2 HeightTest InsertAfterRemoveTest0 InsertAfterRemoveTest1 InsertAfterRemoveTest2 InsertTest0 InsertTest1 InsertTest2 InsertTest3 InsertTest4 InsertTest5 RemoveTest1 RemoveTest2 RemoveTest3 RemoveTest4 RemoveTest6 SizeTest0 SizeTest1 SizeTest2 SizeTest3 , ,EmptyTest1 RemoveTest0 RemoveTest5 RemoveTest7 , ,
